plant,model,R2,MAE,RMSE,transform
삼천포,M1_baseline,-0.03646828279049408,10436.277563787398,38336.89335879165,none
삼천포,M2_standalone,-0.019369287586336048,12732.829020869323,38019.34939811314,none
삼천포,M3_dust_feats,-0.08439124263051045,13863.427586106696,39213.16612603626,none
삼천포,M4_winsorize,-0.012310617721142503,11675.72710173345,37887.48735708482,winsorize_99
삼천포,M5_log_transform,-0.05483935410214591,10556.382635656713,38675.15567724145,log1p
삼천포,M4W_winsorize_feats,-0.03450219769002971,12417.886646057143,38300.51531702189,winsorize_99
영흥,M1_baseline,-0.012153812126891594,2892.39914983248,8593.355642222745,none
영흥,M2_standalone,-0.04762815551873589,4823.5305216982415,8742.650336555467,none
영흥,M3_dust_feats,-0.022127966080493167,3309.6954794300955,8635.592961668846,none
영흥,M4_winsorize,0.006606837382469144,3678.103360984858,8513.342609550662,winsorize_99
영흥,M5_log_transform,-0.04425734347702592,2602.7732420433535,8728.573980185232,log1p
영흥,M4W_winsorize_feats,-0.0015581647215709982,3031.3377621935924,8548.25789432605,winsorize_99
