plant,variable,target,base_val,min_pred,max_pred,delta_kg,delta_pct
삼천포,temp_mean,SOx,13.97,7479.1,7604.0,124.9,1.7
삼천포,temp_mean,NOx,13.97,10017.9,10074.8,56.8,0.6
삼천포,temp_mean,먼지,13.97,7520.4,9098.0,1577.6,20.4
삼천포,wind_speed_mean,SOx,3.5,7454.9,7479.1,24.1,0.3
삼천포,wind_speed_mean,NOx,3.5,10017.9,10017.9,0.0,0.0
삼천포,wind_speed_mean,먼지,3.5,7278.9,7876.5,597.6,8.1
삼천포,stagnation_idx,SOx,30.24,7329.2,7479.1,149.9,2.0
삼천포,stagnation_idx,NOx,30.24,10017.9,10017.9,0.0,0.0
삼천포,stagnation_idx,먼지,30.24,7278.9,7876.5,597.6,7.7
영흥,temp_mean,SOx,9.83,12643.1,13167.3,524.2,4.0
영흥,temp_mean,NOx,9.83,12596.6,12739.8,143.1,1.1
영흥,temp_mean,먼지,9.83,2004.4,2044.2,39.9,2.0
영흥,wind_speed_mean,SOx,1.29,12587.3,13080.7,493.4,3.9
영흥,wind_speed_mean,NOx,1.29,12634.6,12685.3,50.8,0.4
영흥,wind_speed_mean,먼지,1.29,1971.3,2251.3,280.0,12.9
영흥,stagnation_idx,SOx,140.77,12587.3,13048.0,460.7,3.5
영흥,stagnation_idx,NOx,140.77,12634.6,12685.3,50.8,0.4
영흥,stagnation_idx,먼지,140.77,2034.3,2251.3,217.1,10.5
분당,temp_mean,NOx,10.96,1362.8,1383.4,20.7,1.5
분당,wind_speed_mean,NOx,2.17,1372.9,1383.4,10.5,0.8
분당,stagnation_idx,NOx,50.73,1383.4,1383.4,0.0,0.0
영동,temp_mean,SOx,13.28,68.5,89.0,20.5,27.8
영동,temp_mean,NOx,13.28,2929.8,3174.3,244.5,8.1
영동,temp_mean,먼지,13.28,310.7,400.2,89.5,27.1
영동,wind_speed_mean,SOx,2.59,57.3,72.8,15.5,22.2
영동,wind_speed_mean,NOx,2.59,3004.2,3081.1,77.0,2.5
영동,wind_speed_mean,먼지,2.59,318.1,349.0,30.9,9.3
영동,stagnation_idx,SOx,40.43,58.5,70.0,11.5,17.4
영동,stagnation_idx,NOx,40.43,3040.9,3138.7,97.9,3.2
영동,stagnation_idx,먼지,40.43,330.2,338.2,8.0,2.4
여수,temp_mean,SOx,14.7,482.3,630.1,147.8,28.5
여수,temp_mean,NOx,14.7,2482.7,2649.5,166.7,6.5
여수,temp_mean,먼지,14.7,798.6,1000.7,202.1,23.8
여수,wind_speed_mean,SOx,3.61,488.5,598.5,110.0,20.6
여수,wind_speed_mean,NOx,3.61,2592.5,2620.3,27.7,1.1
여수,wind_speed_mean,먼지,3.61,763.0,801.5,38.5,4.9
여수,stagnation_idx,SOx,24.09,469.8,536.9,67.1,14.0
여수,stagnation_idx,NOx,24.09,2618.3,2620.3,2.0,0.1
여수,stagnation_idx,먼지,24.09,763.0,801.5,38.5,4.8
