scenario,sam_util,yh_util,yd_util,ys_util,gen_sam,gen_yh,gen_yd,gen_ys,gen_bd,SOx_total,NOx_total,dust_total,social_cost_krw,gen_cost_krw,total_cost_krw
S0_normal,0.5,0.94,0.45,0.45,20305.0,76727.0,2960.0,6083.0,532.0,20615.0,26181.0,6358.0,70969173.0,6973527716.0,7044496890.0
S0_normal,0.5,0.899,0.788,0.548,20305.0,73345.0,5181.0,7400.0,376.0,20597.0,26460.0,6296.0,71506418.0,6976019072.0,7047525490.0
S0_normal,0.5,0.899,0.9,0.45,20305.0,73345.0,5921.0,6083.0,953.0,20596.0,26509.0,6415.0,71701534.0,7011498745.0,7083200278.0
S0_normal,0.5,0.857,0.9,0.742,20305.0,69964.0,5921.0,10036.0,381.0,20584.0,26532.0,6359.0,71702306.0,6980034752.0,7051737058.0
S0_normal,0.5,0.899,0.675,0.548,20305.0,73345.0,4440.0,7400.0,1116.0,20595.0,26636.0,6285.0,71870612.0,7013023069.0,7084893681.0
S0_normal,0.5,0.899,0.562,0.645,20305.0,73345.0,3700.0,8718.0,538.0,20587.0,26686.0,6292.0,71979449.0,6977543396.0,7049522845.0
S0_normal,0.538,0.899,0.562,0.548,21839.0,73345.0,3700.0,7400.0,322.0,20663.0,26690.0,6297.0,72029164.0,6965648510.0,7037677675.0
S0_normal,0.5,0.899,0.45,0.645,20305.0,73345.0,2960.0,8718.0,1278.0,20587.0,26721.0,6279.0,72044667.0,7014547393.0,7086592060.0
S0_normal,0.538,0.899,0.788,0.45,21839.0,73345.0,5181.0,6083.0,159.0,20658.0,26680.0,6370.0,72062048.0,6964124186.0,7036186234.0
S0_normal,0.538,0.899,0.675,0.45,21839.0,73345.0,4440.0,6083.0,899.0,20656.0,26696.0,6359.0,72086999.0,7001128183.0,7073215182.0
S0_normal,0.538,0.857,0.675,0.742,21839.0,69964.0,4440.0,10036.0,327.0,20644.0,26756.0,6303.0,72166040.0,6969664190.0,7041830230.0
S0_normal,0.5,0.899,0.675,0.45,20305.0,73345.0,4440.0,6083.0,2434.0,20593.0,26751.0,6359.0,72172788.0,7085506739.0,7157679527.0
S0_normal,0.5,0.899,0.45,0.45,20305.0,73345.0,2960.0,6083.0,3914.0,20599.0,26814.0,6358.0,72308365.0,7159514733.0,7231823098.0
S0_normal,0.5,0.899,0.45,0.548,20305.0,73345.0,2960.0,7400.0,2596.0,20600.0,26845.0,6284.0,72317878.0,7087031063.0,7159348941.0
S0_normal,0.5,0.899,0.788,0.45,20305.0,73345.0,5181.0,6083.0,1694.0,20596.0,26866.0,6370.0,72427746.0,7048502742.0,7120930488.0
S0_normal,0.5,0.857,0.675,0.84,20305.0,69964.0,4440.0,11354.0,544.0,20579.0,26925.0,6303.0,72493339.0,6981559076.0,7054052415.0
S0_normal,0.5,0.899,0.562,0.548,20305.0,73345.0,3700.0,7400.0,1856.0,20601.0,26927.0,6297.0,72503828.0,7050027066.0,7122530894.0
S0_normal,0.538,0.857,0.9,0.645,21839.0,69964.0,5921.0,8718.0,165.0,20655.0,26903.0,6359.0,72526045.0,6968139866.0,7040665911.0
S0_normal,0.5,0.857,0.788,0.742,20305.0,69964.0,5181.0,10036.0,1121.0,20584.0,26946.0,6314.0,72547627.0,7017038749.0,7089586376.0
S0_normal,0.5,0.899,0.562,0.45,20305.0,73345.0,3700.0,6083.0,3174.0,20599.0,26933.0,6371.0,72572262.0,7122510736.0,7195082998.0
S0_normal,0.538,0.899,0.562,0.45,21839.0,73345.0,3700.0,6083.0,1640.0,20661.0,26920.0,6371.0,72576164.0,7038132180.0,7110708345.0
S0_normal,0.538,0.899,0.45,0.548,21839.0,73345.0,2960.0,7400.0,1062.0,20663.0,26960.0,6284.0,72594889.0,7002652508.0,7075247397.0
S0_normal,0.5,0.857,0.675,0.742,20305.0,69964.0,4440.0,10036.0,1862.0,20582.0,26994.0,6303.0,72640704.0,7054042746.0,7126683450.0
S0_normal,0.5,0.857,0.675,0.45,20305.0,69964.0,4440.0,6083.0,5815.0,20602.0,26992.0,6382.0,72707140.0,7271493756.0,7344200896.0
S0_normal,0.5,0.857,0.675,0.548,20305.0,69964.0,4440.0,7400.0,4497.0,20603.0,27056.0,6308.0,72787751.0,7199010086.0,7271797837.0
S0_normal,0.5,0.857,0.562,0.742,20305.0,69964.0,3700.0,10036.0,2602.0,20587.0,27074.0,6315.0,72822847.0,7091046743.0,7163869590.0
S0_normal,0.5,0.857,0.45,0.548,20305.0,69964.0,2960.0,7400.0,5977.0,20609.0,27082.0,6307.0,72846303.0,7273018080.0,7345864383.0
S0_normal,0.5,0.857,0.45,0.742,20305.0,69964.0,2960.0,10036.0,3342.0,20587.0,27090.0,6302.0,72848300.0,7128050740.0,7200899040.0
S0_normal,0.5,0.857,0.9,0.45,20305.0,69964.0,5921.0,6083.0,4335.0,20604.0,27052.0,6438.0,72879647.0,7197485762.0,7270365409.0
S0_normal,0.5,0.857,0.9,0.645,20305.0,69964.0,5921.0,8718.0,1699.0,20592.0,27089.0,6359.0,72891743.0,7052518422.0,7125410165.0
S0_normal,0.538,0.899,0.45,0.45,21839.0,73345.0,2960.0,6083.0,2380.0,20661.0,27075.0,6358.0,72897065.0,7075136178.0,7148033243.0
S0_normal,0.5,0.857,0.562,0.84,20305.0,69964.0,3700.0,11354.0,1284.0,20585.0,27123.0,6315.0,72926651.0,7018563073.0,7091489724.0
S0_normal,0.5,0.857,0.562,0.548,20305.0,69964.0,3700.0,7400.0,5237.0,20609.0,27123.0,6320.0,72941742.0,7236014083.0,7308955825.0
S0_normal,0.5,0.857,0.788,0.45,20305.0,69964.0,5181.0,6083.0,5075.0,20604.0,27099.0,6393.0,72944582.0,7234489759.0,7307434341.0
S0_normal,0.5,0.857,0.562,0.45,20305.0,69964.0,3700.0,6083.0,6555.0,20607.0,27100.0,6394.0,72950235.0,7308497753.0,7381447988.0
S0_normal,0.5,0.857,0.45,0.645,20305.0,69964.0,2960.0,8718.0,4660.0,20595.0,27142.0,6302.0,72961806.0,7200534410.0,7273496216.0
S0_normal,0.5,0.857,0.675,0.645,20305.0,69964.0,4440.0,8718.0,3179.0,20590.0,27150.0,6303.0,72977247.0,7126526416.0,7199503663.0
S0_normal,0.538,0.857,0.675,0.645,21839.0,69964.0,4440.0,8718.0,1645.0,20652.0,27137.0,6303.0,72981149.0,7042147860.0,7115129009.0
S0_normal,0.5,0.857,0.45,0.45,20305.0,69964.0,2960.0,6083.0,7295.0,20607.0,27120.0,6381.0,72982620.0,7345501750.0,7418484370.0
S0_normal,0.538,0.857,0.45,0.84,21839.0,69964.0,2960.0,11354.0,490.0,20647.0,27146.0,6302.0,72997686.0,6971188515.0,7044186201.0
