plant,variable,target,base_val,min_pred,max_pred,delta_kg,delta_pct
삼천포,temp_mean,SOx,13.97,7411.5,7471.9,60.4,0.8
삼천포,temp_mean,NOx,13.97,10668.6,10854.2,185.6,1.7
삼천포,temp_mean,먼지,13.97,5957.7,7064.6,1106.9,17.1
삼천포,wind_speed_mean,SOx,3.5,7370.9,7411.5,40.6,0.5
삼천포,wind_speed_mean,NOx,3.5,10668.6,10668.6,0.0,0.0
삼천포,wind_speed_mean,먼지,3.5,5548.0,7003.2,1455.2,24.8
삼천포,stagnation_idx,SOx,30.24,7370.9,7411.5,40.6,0.5
삼천포,stagnation_idx,NOx,30.24,10668.6,10668.6,0.0,0.0
삼천포,stagnation_idx,먼지,30.24,5548.0,6139.6,591.6,9.8
영흥,temp_mean,SOx,9.83,12862.9,13398.5,535.6,4.0
영흥,temp_mean,NOx,9.83,12337.1,12615.7,278.7,2.2
영흥,temp_mean,먼지,9.83,2118.9,2958.9,840.0,37.7
영흥,wind_speed_mean,SOx,2.13,13367.2,13399.4,32.2,0.2
영흥,wind_speed_mean,NOx,2.13,12462.6,12595.6,133.0,1.1
영흥,wind_speed_mean,먼지,2.13,2122.2,2122.2,0.0,0.0
영흥,stagnation_idx,SOx,139.71,13398.5,13398.5,0.0,0.0
영흥,stagnation_idx,NOx,139.71,12567.4,12641.6,74.3,0.6
영흥,stagnation_idx,먼지,139.71,2122.2,2122.2,0.0,0.0
분당,temp_mean,NOx,10.96,1231.1,1242.5,11.4,0.9
분당,wind_speed_mean,NOx,2.17,1163.9,1242.5,78.6,6.6
분당,stagnation_idx,NOx,50.73,1242.5,1242.5,0.0,0.0
영동,temp_mean,SOx,13.28,60.8,90.7,29.9,43.1
영동,temp_mean,NOx,13.28,2296.8,2485.5,188.7,8.0
영동,temp_mean,먼지,13.28,177.3,210.9,33.6,18.5
영동,wind_speed_mean,SOx,2.59,60.9,71.2,10.2,16.1
영동,wind_speed_mean,NOx,2.59,2292.9,2394.7,101.9,4.4
영동,wind_speed_mean,먼지,2.59,173.4,193.0,19.7,11.1
영동,stagnation_idx,SOx,40.43,62.5,64.8,2.3,3.6
영동,stagnation_idx,NOx,40.43,2292.4,2384.3,91.9,3.9
영동,stagnation_idx,먼지,40.43,175.7,185.6,9.9,5.5
여수,temp_mean,SOx,14.7,494.9,888.1,393.2,67.4
여수,temp_mean,NOx,14.7,3146.3,3300.5,154.2,4.8
여수,temp_mean,먼지,14.7,328.3,796.2,467.9,110.5
여수,wind_speed_mean,SOx,3.61,488.2,582.9,94.7,17.7
여수,wind_speed_mean,NOx,3.61,3258.6,3284.6,25.9,0.8
여수,wind_speed_mean,먼지,3.61,339.8,339.8,0.0,0.0
여수,stagnation_idx,SOx,24.09,484.9,543.8,58.9,11.7
여수,stagnation_idx,NOx,24.09,3258.6,3268.5,9.9,0.3
여수,stagnation_idx,먼지,24.09,339.8,395.1,55.3,16.2
